month,year,day_of_year,revisit_gap_hours
9,2019,255,120.00222222222222
9,2019,255,0.0
9,2019,260,120.01166666666668
9,2019,260,0.0
9,2019,265,120.01055555555556
9,2019,265,0.0
9,2019,270,120.00888888888888
9,2019,270,0.0
10,2019,275,120.01055555555556
10,2019,275,0.0
10,2019,280,120.01166666666668
10,2019,280,0.0
10,2019,285,120.00777777777778
10,2019,285,0.0
10,2019,290,120.01166666666668
10,2019,290,0.0
10,2019,295,120.00777777777778
10,2019,295,0.0
10,2019,300,120.00888888888888
10,2019,300,0.0
11,2019,305,120.00777777777778
11,2019,305,0.0
11,2019,310,120.00611111111112
11,2019,310,0.0
11,2019,315,120.00777777777778
11,2019,315,0.0
11,2019,320,120.00611111111112
11,2019,320,0.0
11,2019,325,120.005
11,2019,325,0.0
11,2019,330,120.00611111111112
11,2019,330,0.0
12,2019,335,120.00222222222222
12,2019,335,0.0
12,2019,340,120.00611111111112
12,2019,340,0.0
12,2019,345,119.99944444444444
12,2019,345,0.0
12,2019,350,120.00333333333332
12,2019,350,0.0
12,2019,355,120.00222222222222
12,2019,355,0.0
12,2019,360,119.99777777777778
12,2019,360,0.0
12,2019,365,119.99944444444444
12,2019,365,0.0
1,2020,5,119.99777777777778
1,2020,5,0.0
1,2020,10,119.99666666666668
1,2020,10,0.0
1,2020,15,119.995
1,2020,15,0.0
1,2020,20,119.99666666666668
1,2020,20,0.0
1,2020,25,119.99222222222222
1,2020,25,0.0
1,2020,30,119.99388916666666
1,2020,30,0.0
2,2020,35,119.99222194444444
2,2020,35,0.0
2,2020,40,119.99388888888888
2,2020,40,0.0
2,2020,45,119.98944472222222
2,2020,45,0.0
2,2020,50,119.99111083333334
2,2020,50,0.0
2,2020,55,119.98944444444444
2,2020,55,0.0
2,2020,60,119.97722222222222
2,2020,60,0.0
3,2020,65,120.00333333333332
3,2020,65,0.0
3,2020,70,119.97722222222222
3,2020,70,0.0
3,2020,75,120.00333333333332
3,2020,75,0.0
3,2020,80,119.97444444444444
3,2020,80,0.0
3,2020,85,120.00611111111112
3,2020,85,0.0
3,2020,90,119.9883336111111
3,2020,90,0.0
4,2020,95,120.00055527777778
4,2020,95,0.0
4,2020,100,119.99944444444444
4,2020,100,0.0
4,2020,105,120.00055555555556
4,2020,105,0.0
4,2020,110,119.99944444444444
4,2020,115,120.00055555555556
4,2020,115,0.0
4,2020,120,119.99944444444444
4,2020,120,0.0
5,2020,125,120.00333333333332
5,2020,125,0.0
5,2020,130,119.99666666666668
5,2020,130,0.0
5,2020,135,120.00333333333332
5,2020,135,0.0
5,2020,140,119.99666666666668
5,2020,140,0.0
5,2020,145,120.00333333333332
5,2020,145,0.0
5,2020,150,119.99666666666668
5,2020,150,0.0
6,2020,155,120.00333333333332
6,2020,155,0.0
6,2020,160,119.99666666666668
6,2020,160,0.0
6,2020,165,120.00333333333332
6,2020,165,0.0
6,2020,170,119.99666666666668
6,2020,170,0.0
6,2020,175,120.00333333333332
6,2020,175,0.0
6,2020,180,119.99666666666668
6,2020,180,0.0
7,2020,185,120.00333333333332
7,2020,185,0.0
7,2020,190,119.99666666666668
7,2020,190,0.0
7,2020,195,120.00333333333332
7,2020,195,0.0
7,2020,200,119.99666666666668
7,2020,200,0.0
7,2020,205,120.00333333333332
7,2020,205,0.0
7,2020,210,119.99666666666668
7,2020,210,0.0
8,2020,215,120.00333333333332
8,2020,215,0.0
8,2020,220,119.99666666666668
8,2020,220,0.0
8,2020,225,120.00333333333332
