cloud_cover,month,year,day_of_year,revisit_gap_hours
50.517013,5,2020,135,0.0
5.099085,5,2020,140,119.99666666666668
1.192228,5,2020,140,0.0
74.767293,5,2020,145,120.00333333333332
94.673708,5,2020,145,0.0
0.834075,5,2020,150,119.99666666666668
1.456524,5,2020,150,0.0
1.472567,6,2020,155,120.00333333333332
6.243609,6,2020,155,0.0
16.619914,6,2020,160,119.99666666666668
25.178128,6,2020,160,0.0
0.365775,6,2020,165,120.00333333333332
1.026843,6,2020,165,0.0
3.805183,6,2020,170,119.99666666666668
1.325576,6,2020,170,0.0
100.0,6,2020,175,120.00333333333332
100.0,6,2020,175,0.0
86.650579,6,2020,180,119.99666666666668
85.164703,6,2020,180,0.0
2.835556,7,2020,185,120.00333333333332
6.971306,7,2020,185,0.0
19.649854,7,2020,190,119.99666666666668
17.5833,7,2020,190,0.0
65.682939,7,2020,195,120.00333333333332
99.987918,7,2020,195,0.0
0.65962,7,2020,200,119.99666666666668
8.441251,7,2020,200,0.0
37.879808,7,2020,205,120.00333333333332
86.722306,7,2020,205,0.0
98.197103,7,2020,210,119.99666666666668
94.310304,7,2020,210,0.0
4.13386,8,2020,215,120.00333333333332
19.341241,8,2020,215,0.0
72.521567,8,2020,220,119.99666666666668
45.307703,8,2020,220,0.0
45.995316,8,2020,225,120.00333333333332
50.500702,8,2020,225,0.0
5.891615,8,2020,230,119.99666666666668
20.173063,8,2020,230,0.0
0.294054,8,2020,235,120.00333333333332
2.138544,8,2020,235,0.0
41.094857,8,2020,240,119.99666666666668
92.323933,8,2020,240,0.0
100.0,9,2020,245,120.00333333333332
82.118565,9,2020,245,0.0
0.19983,9,2020,250,119.99666666666668
4.128684,9,2020,250,0.0
99.188917,9,2020,255,120.00611111111112
97.801185,9,2020,255,0.0
9.215668,9,2020,260,119.99388888888888
12.115436,9,2020,260,0.0
9.921456,9,2020,265,120.02555555555556
2.329413,9,2020,265,0.0
0.195899,9,2020,270,119.99388888888888
0.106238,9,2020,270,0.0
13.211125,10,2020,275,120.02555555555556
14.045922,10,2020,275,0.0
0.167743,10,2020,280,119.99388888888888
0.078414,10,2020,280,0.0
0.23262,10,2020,285,120.02555555555556
0.096976,10,2020,285,0.0
29.828645,10,2020,290,120.01055555555556
14.686806,10,2020,290,0.0
5.458593,10,2020,295,120.00888888888888
12.768475,10,2020,295,0.0
99.936072,10,2020,300,120.00777777777778
94.363129,10,2020,300,0.0
56.794609,10,2020,305,120.00888888888888
36.751244,10,2020,305,0.0
0.186423,11,2020,310,120.00777777777778
0.105331,11,2020,310,0.0
0.487072,11,2020,315,120.00611111111112
37.975261,11,2020,315,0.0
0.724717,11,2020,320,120.005
0.494303,11,2020,320,0.0
0.547384,11,2020,325,120.00611111111112
6.333759,11,2020,325,0.0
4.346025,11,2020,330,120.005
0.281048,11,2020,330,0.0
0.722932,11,2020,335,120.00611111111112
7.220741,11,2020,335,0.0
0.453423,12,2020,340,120.00222222222222
0.099786,12,2020,340,0.0
0.338685,12,2020,345,120.00055555555556
0.112606,12,2020,345,0.0
95.481823,12,2020,350,120.00222222222222
95.890991,12,2020,350,0.0
1.40808,12,2020,355,120.00333333333332
0.245202,12,2020,355,0.0
0.222654,12,2020,360,119.99944444444444
0.084685,12,2020,360,0.0
80.904808,12,2020,365,119.99777777777778
82.337171,12,2020,365,0.0
1.735456,1,2021,4,119.99944444444444
0.110155,1,2021,4,0.0
42.911097,1,2021,9,119.995
8.149387,1,2021,9,0.0
30.037631,1,2021,14,119.99666666666668
56.496641,1,2021,14,0.0
96.089423,1,2021,19,119.995
96.399359,1,2021,19,0.0
97.966933,1,2021,24,119.99388888888888
98.209166,1,2021,24,0.0
99.999988,1,2021,29,119.995
99.999693,1,2021,29,0.0
2.82395,2,2021,34,119.99111111111112
4.227709,2,2021,34,0.0
99.775161,2,2021,39,119.99222222222222
99.841434,2,2021,39,0.0
83.444635,2,2021,44,119.99111111111112
95.572753,2,2021,44,0.0
1.309923,2,2021,49,119.98944444444444
7.334801,2,2021,49,0.0
0.27279,2,2021,54,119.99111111111112
0.115814,2,2021,54,0.0
97.848815,2,2021,59,119.99222222222222
99.599346,2,2021,59,0.0
90.141475,3,2021,64,119.97444444444444
93.325173,3,2021,64,0.0
11.862338,3,2021,69,120.00611111111112
75.745084,3,2021,69,0.0
0.718153,3,2021,74,119.97166666666666
0.131419,3,2021,74,0.0
0.725429,3,2021,79,120.00611111111112
1.070088,3,2021,79,0.0
94.200217,3,2021,84,119.97722222222222
74.997388,3,2021,84,0.0
60.41595,3,2021,89,120.00333333333332
51.529145,3,2021,89,0.0
43.752107,4,2021,94,119.99666666666668
38.806465,4,2021,94,0.0
95.79739,4,2021,99,120.00055555555556
93.757651,4,2021,99,0.0
99.774784,4,2021,104,119.99944444444444
99.996156,4,2021,104,0.0
0.301295,4,2021,109,120.00055555555556
0.312089,4,2021,109,0.0
83.240964,4,2021,114,119.99666666666668
96.6794,4,2021,114,0.0
79.672773,4,2021,119,120.00333333333332
79.564757,4,2021,119,0.0
83.544555,5,2021,124,119.99944444444444
91.740589,5,2021,124,0.0
88.386246,5,2021,129,120.00055555555556
99.673103,5,2021,129,0.0
9.600499,5,2021,134,119.99944444444444
38.786256,5,2021,134,0.0
99.999903,5,2021,139,120.00055555555556
99.999998,5,2021,139,0.0
87.167166,5,2021,144,119.99944444444444
94.127713,5,2021,144,0.0
0.448011,5,2021,149,120.00055555555556
1.075707,5,2021,149,0.0
